,Gene,mean,median,sd,max,PTID,Time,Residual
CCL28,CCL28,2.9003051,2.926159994171,0.172836396501902,3.27768725373424,55.7247183877711,5.6567198885786905,38.6185617236502
MVK,MVK,3.1867559,3.11558409286611,0.410752206617085,4.50194861635368,55.711443676969594,13.358580490642899,30.929975832387502
PGLYRP1,PGLYRP1,6.7106215,6.71971335595191,0.204908804865169,7.19940929890427,55.689783889945396,0.0,44.3102161100545
PGF,PGF,7.6836331,7.69474848090569,0.192742536520523,8.19700924470122,55.535483895034496,0.0,44.464516104965504
MGMT,MGMT,3.9001785,4.0128267667088,0.760653068787621,5.52713916474103,55.528725781917096,19.3487368392458,25.122537378837002
ALDH1A1,ALDH1A1,2.0613312,2.00888124915456,0.241167414723205,2.72106636873105,55.4862710478352,5.518337117723069,38.9953918344418
ADGRE2,ADGRE2,3.6620631,3.66931511027736,0.227995924146345,4.15198055115892,55.3912720576068,2.3725304494629897,42.2361974929302
NTF4,NTF4,2.2516472,2.25496088755537,0.244597592515422,2.77342672779869,55.307629663883894,0.0,44.6923703361161
THOP1,THOP1,5.0385518,5.03140231205944,0.253330306074469,5.72106363369934,55.2764915735918,8.51057293400436,36.2129354924039
CXCL5,CXCL5,10.2413361,10.2712178861889,0.99380944558561,12.651914179306,55.260667919933404,12.627372938353302,32.1119591417133
CD99L2,CD99L2,4.576718,4.59229696311172,0.198001903422627,5.12818202672552,55.244411624788,9.68715260424345,35.0684357709685
CST6,CST6,4.4183536,4.41950726119012,0.178754365331916,4.89668357339103,55.1930128616146,4.06711594173687,40.7398711966485
HBEGF,HBEGF,5.1276879,5.07784020670229,0.306849014703145,6.01436422051777,55.1559391507101,9.45774811148858,35.3863127378013
CTSZ,CTSZ,4.0046215,4.01500111489017,0.219268341514535,4.41899946543127,54.6101290430132,0.0,45.3898709569868
CKAP4,CKAP4,4.3108118,4.27904031019897,0.188092705580338,4.72873140230337,54.5985782763606,8.9695823297108,36.4318393939286
HBQ1,HBQ1,2.4517776,2.41910963632837,0.379425794570101,3.42429060303465,54.581940090844306,2.13641673651471,43.2816431726409
TNFSF13,TNFSF13,8.6800145,8.68079990446867,0.185157729240607,9.1174597337151,54.5792048648869,0.190898713993083,45.22989642112
CCL5,CCL5,3.3530593,3.22031817736241,0.635864416944349,5.15680917226959,54.0245981366387,5.20914978972053,40.7662520736408
PTK7,PTK7,2.4345404,2.4172989537593,0.252111317470908,3.05942450316481,53.89437527506799,0.0,46.105624724932
TCL1A,TCL1A,5.4361261,5.34735150001415,0.462856578499449,6.63315799082387,53.8415501719607,20.1688305386524,25.989619289387
PFKM,PFKM,3.151778,3.15205852652713,0.202099046225117,3.76483444500626,53.8248697214955,18.1732630129402,28.0018672655643
CRELD2,CRELD2,3.782985,3.80029048253421,0.309824667005323,4.90935549723767,53.677363272385406,8.0439455759825,38.2786911516321
IL7R,IL7R,1.860639,1.85788148436913,0.221158027322376,2.3345110701291,53.638752732993,0.0,46.361247267007
SIGLEC7,SIGLEC7,3.5369172,3.5070737875113,0.163487181723037,4.02975323193322,53.6015483945648,0.0,46.3984516054352
TNR,TNR,4.4022696,4.35881454429822,0.222735908568155,4.95736210962056,53.401802198584804,0.349196556537185,46.249001244878
ITGA6,ITGA6,1.9121608,1.85054960985513,0.286123579666428,3.12268928239198,53.4001167736731,8.587335680461921,38.012547545865
FGF2,FGF2,1.8336061,1.80318569787589,0.465842073958281,4.20208071379296,53.0098988623392,0.0,46.9901011376608
HSPB6,HSPB6,5.1387997,5.15607824288336,0.411864513563655,6.73605821437182,52.563253947627494,0.0,47.436746052372506
MAEA,MAEA,1.7369434,1.7283071743511,0.236015038680666,2.32581812232073,52.50028537096129,2.32675128423399,45.1729633448047
TNFRSF1A,TNFRSF1A,5.8412189,5.83141062607579,0.216001145425421,6.35837164477782,52.4114468559168,3.39110610045381,44.1974470436294
APOM,APOM,6.166763,6.16840383027489,0.220441650795089,6.6395722448871,51.8560827785722,0.0,48.1439172214278
TNFRSF6B,TNFRSF6B,4.5038211,4.45016780587507,0.2722892892208,5.25491522762198,51.822648564613104,1.0251740335407,47.1521774018462
TNXB,TNXB,1.825596,1.82660967406225,0.116925031655621,2.08161232285789,51.703730579810006,3.18650969698722,45.1097597232028
PROC,PROC,4.334254,4.32717432822012,0.269287280250521,4.76805196136192,51.570870589542395,0.0,48.4291294104576
APP,APP,0.9246071,0.893825130378575,0.176036847304953,1.63003263389377,51.3781800056988,3.2543036553637896,45.3675163389374
VEGFA,VEGFA,10.385616,10.4121422931613,0.19867626093508,10.7813188912352,51.3404742000883,1.25248089795817,47.4070449019535
LPL,LPL,10.0759683,10.0794890019192,0.310317961149859,10.7704062162988,51.197710133187805,0.958243887054094,47.8440459797581
LRIG1,LRIG1,3.8064826,3.80807038176804,0.181836809695044,4.24645369332345,50.75926215697471,0.0,49.2407378430253
MSLN,MSLN,2.3548949,2.2866467999096,0.349810786380032,4.19234410938254,50.6890421537173,0.0,49.3109578462827
FGF19,FGF19,8.675667,8.51928824724857,1.06605590875003,11.0652934027619,50.581540974080994,2.83574682692608,46.5827121989929
SPARC,SPARC,9.4226969,9.41772605553587,0.131498357880841,9.68795019735197,50.5166165970545,4.1566315581634194,45.326751844782095
TGM2,TGM2,7.3053877,7.29916462274747,0.464747045396207,8.94430151893268,50.478125315615394,6.491009693732449,43.0308649906521
CHL1,CHL1,3.424858,3.44639668766948,0.182944451230542,3.89242988586252,50.456506430729895,0.0,49.5434935692701
DSC2,DSC2,4.2934947,4.2743285412401,0.187264985450673,4.91237202834378,50.372704408717,5.6637406090267195,43.9635549822563
EPHB4,EPHB4,4.771735,4.7797466461038,0.172531494882544,5.24032959586712,50.300342139589404,0.0,49.6996578604106
CD5,CD5,5.9940784,5.97437039163944,0.16983239440657,6.59934606405426,50.299285891539306,4.15850440466653,45.5422097037941
TNFRSF14,TNFRSF14,4.1103049,4.12861505906538,0.23396250919481,4.61118418601076,50.2494254765991,9.56931395557832,40.181260567822605
LRP11,LRP11,4.3904385,4.40649456951205,0.22289889501116,4.946145991668,50.1510393845081,1.42591021996582,48.423050395526005
IL12RB1,IL12RB1,2.4748012,2.44584554003695,0.170352258239145,2.96840414695816,50.121596169241,0.09798242216905971,49.780421408589895
TNFRSF11B,TNFRSF11B,10.0789191,10.0380034725087,0.22255924319079,10.584526526801,50.0710215971121,1.9025119164235198,48.0264664864644
BCL2L11,BCL2L11,2.522057,2.51448839604342,0.174585011082951,2.91163406464444,50.055774829521404,1.16169804764553e-08,49.9442251588616
CLEC6A,CLEC6A,2.2524316,2.27637755277364,0.224497386920775,2.7343302702514,49.8448187553383,4.20712672647462,45.9480545181871
FSTL3,FSTL3,2.5354884,2.52757020415446,0.180079439373378,3.22761786861066,49.802216849908596,4.74057076737364,45.4572123827177
CDSN,CDSN,2.8393474,2.91834685519997,0.340040672526389,3.90388666475123,49.5868999162426,0.0,50.4131000837574
FADD,FADD,1.7004655,1.6316384692751,0.293819971854105,2.70712717777318,49.5519138912923,5.0378834781355994,45.4102026305722
EGFR,EGFR,2.8742006,2.85689831572878,0.147087071353155,3.28990822070734,49.4295093337352,6.14292677740698,44.427563888857804
PRSS2,PRSS2,2.7724011,2.79164359275155,0.174561505942156,3.15399984364613,49.3607351846479,1.6635411707577499,48.9757236445943
FST,FST,10.6794019,10.6495683974728,0.422224458355867,11.8390538408202,49.3089479832338,0.0,50.6910520167662
ANGPTL3,ANGPTL3,5.1297536,5.12866242734507,0.283328503063868,5.62043685504372,48.9953331301848,0.0,51.0046668698151
PARP1,PARP1,3.440812,3.42440736093816,0.264944913054888,4.01841162874226,48.9005400531308,4.76987669540773,46.3295832514615
FAM3C,FAM3C,5.9663644,5.94467870868047,0.33214755933768,6.62007169876832,48.8324772329047,0.0,51.1675227670953
CA3,CA3,1.5463551,1.52140231786664,0.162214104568181,2.17625893516436,48.6816001918599,3.61569147984576e-08,51.3183997719832
