,Gene,mean,median,sd,max,PTID,Time,Residual
HS6ST1,HS6ST1,4.5943794,4.59224968623136,0.314596620849846,5.30780008061057,44.6166739627285,0.0,55.383326037271495
NMNAT1,NMNAT1,2.673113,2.67394764364935,0.291684970996542,3.36819562655146,44.4756884777125,18.4557168622745,37.068594660013
QPCT,QPCT,1.027407,1.02877280670639,0.103979819324341,1.26177149506894,44.23440265241,0.227653019608055,55.537944327982004
ERP44,ERP44,4.6789534,4.69311733571977,0.197568304483899,5.25421608724232,44.202865473597,8.01801054075287,47.7791239856502
CNTN4,CNTN4,4.6228667,4.60187839966248,0.161066517720455,5.00406087603432,44.1430410618473,7.962355970539351,47.894602967613395
SMPD1,SMPD1,4.2053768,4.15929789701339,0.295882843578979,5.07244456245324,44.0309003923632,0.5205979145970341,55.448501693039795
ADGRG2,ADGRG2,3.2289313,3.2512331420189,0.206980101119349,3.75106732192117,44.0291089073577,5.3835014205154e-08,55.9708910388073
None,None,3.2979616,3.29713214448909,0.187609204721058,3.69698421273103,43.7873076462847,5.68289044624811,50.529801907467196
TRIM21,TRIM21,2.425377,2.40190874961683,0.267869598703058,3.10413533948403,43.7614316700693,20.347899422336297,35.890668907594396
TNFRSF12A,TNFRSF12A,4.3765687,4.2871183928183,0.442838864984867,5.42063061197369,43.5234176048147,0.0,56.476582395185304
UMOD,UMOD,1.9461665,1.94440870453277,0.113718096028058,2.21701351997353,43.2086263019621,8.142579270113231,48.6487944279247
TNF,TNF,3.8919639,3.8669372325584,0.248801778278867,4.82481366841923,43.120497382106,6.87062991896648,50.0088726989276
TFPI,TFPI,8.6115165,8.57894278837968,0.216622519346542,9.36196416426574,43.0003622755389,10.706897585639199,46.2927401388219
CLEC4C,CLEC4C,4.6121009,4.6269012314917,0.155169532369346,4.90151376293552,42.9713539953424,3.62674783169376,53.401898172963804
GZMB,GZMB,3.3160854,3.37136944844146,0.391169266357721,5.23402989981215,42.6516903335041,4.58638753987503,52.761922126620796
CDKN1A,CDKN1A,4.1439308,3.9985678366376,0.802913556662068,6.03751181272254,42.587212550412204,24.824774284120803,32.588013165467004
CLEC1B,CLEC1B,9.885876,9.80158264319326,0.738374341619739,11.455073955773,42.5620589639497,22.0816285012032,35.3563125348471
BCR,BCR,4.2744241,4.28897968304854,0.587673572837357,5.36816069708997,42.4694320318155,23.7683758640379,33.7621921041466
CD58,CD58,2.7816802,2.77429653423784,0.157690898061634,3.1521671906731,42.366802969343496,12.452301125441402,45.1808959052152
NPPC,NPPC,3.8606527,3.87353265941391,0.313013429332313,4.69991248324083,42.2907173798937,0.0,57.70928262010629
TMPRSS15,TMPRSS15,3.5012858,3.49732621044346,0.504001121071093,4.50639248385844,42.261967472173204,0.0,57.738032527826796
ACAA1,ACAA1,2.1149164,2.13086068652244,0.26835708398333,2.92276872291713,42.164254021515404,0.0405759267627966,57.7951700517218
